Year,Quarter,Month,Day,Sum of FlatPrice,RegionName
2002,Qtr 3,July,1,58262.65195,Greater Manchester
2002,Qtr 3,July,1,52400.713,Merseyside
2002,Qtr 3,July,1,49695.63449,South Yorkshire
2002,Qtr 3,July,1,51597.32076,Tyne and Wear
2002,Qtr 3,July,1,64497.76654,West Midlands
2002,Qtr 3,July,1,57865.16726,West Yorkshire
2002,Qtr 3,August,1,60182.42296,Greater Manchester
2002,Qtr 3,August,1,52624.71046,Merseyside
2002,Qtr 3,August,1,51087.45645,South Yorkshire
2002,Qtr 3,August,1,53012.76461,Tyne and Wear
2002,Qtr 3,August,1,66090.66356,West Midlands
2002,Qtr 3,August,1,59428.57868,West Yorkshire
2002,Qtr 3,September,1,60686.606,Greater Manchester
2002,Qtr 3,September,1,53151.90789,Merseyside
2002,Qtr 3,September,1,51713.53151,South Yorkshire
2002,Qtr 3,September,1,53834.22102,Tyne and Wear
2002,Qtr 3,September,1,67465.28727,West Midlands
2002,Qtr 3,September,1,59730.36407,West Yorkshire
