Year,Month,Sum of SalesVolume running total in Year,Sum of SalesVolume
1995,January,8683,8683
1995,February,8919,8919
1995,March,12420,12420
1995,April,10111,10111
1995,May,11730,11730
1995,June,13660,13660
1995,July,11491,11491
1995,August,12314,12314
1995,September,12675,12675
1995,October,11128,11128
1995,November,11868,11868
1995,December,13153,13153
1996,January,17492,8809
1996,February,18222,9303
1996,March,24712,12292
1996,April,21036,10925
1996,May,25471,13741
1996,June,27098,13438
1996,July,25939,14448
1996,August,27891,15577
1996,September,26071,13396
1996,October,25982,14854
1996,November,27867,15999
1996,December,27978,14825
1997,January,28781,11289
1997,February,29428,11206
1997,March,37374,12662
1997,April,33798,12762
1997,May,40997,15526
1997,June,42975,15877
1997,July,42536,16597
1997,August,44252,16361
1997,September,40979,14908
1997,October,42449,16467
1997,November,42019,14152
1997,December,43426,15448
1998,January,39163,10382
1998,February,40311,10883
1998,March,50512,13138
1998,April,47353,13555
1998,May,55931,14934
1998,June,58799,15824
1998,July,60581,18045
1998,August,59558,15306
1998,September,55728,14749
1998,October,58646,16197
1998,November,56931,14912
1998,December,58864,15438
1999,January,49780,10617
1999,February,51570,11259
1999,March,65022,14510
1999,April,62575,15222
1999,May,71291,15360
1999,June,75756,16957
1999,July,80861,20280
1999,August,77309,17751
1999,September,72610,16882
1999,October,77235,18589
1999,November,74827,17896
1999,December,76810,17946
2000,January,61517,11737
2000,February,64389,12819
2000,March,82244,17222
2000,April,78099,15524
2000,May,88112,16821
2000,June,95253,19497
2000,July,98808,17947
2000,August,95164,17855
2000,September,90218,17608
2000,October,93517,16282
2000,November,90904,16077
2000,December,94341,17531
2001,January,73279,11762
2001,February,76623,12234
2001,March,98816,16572
2001,April,93802,15703
2001,May,105929,17817
2001,June,115787,20534
2001,July,119064,20256
2001,August,117590,22426
2001,September,108160,17942
2001,October,113367,19850
2001,November,112322,21418
2001,December,112534,18193
2002,January,87114,13835
2002,February,91791,15168
2002,March,118543,19727
2002,April,111908,18106
2002,May,130813,24884
2002,June,134935,19148
2002,July,142399,23335
2002,August,141437,23847
2002,September,128095,19935
2002,October,134014,20647
2002,November,135346,23024
2002,December,132896,20362
2003,January,102829,15715
2003,February,107469,15678
2003,March,135602,17059
2003,April,129466,17558
2003,May,150785,19972
2003,June,155331,20396
2003,July,163859,21460
2003,August,164347,22910
2003,September,149834,21739
2003,October,158751,24737
2003,November,158283,22937
2003,December,156931,24035
2004,January,119920,17091
2004,February,124847,17378
2004,March,156327,20725
2004,April,152463,22997
2004,May,171724,20939
2004,June,179285,23954
2004,July,189512,25653
2004,August,185810,21463
2004,September,169018,19184
2004,October,178043,19292
2004,November,175198,16915
